game_index,source_index,played_at_utc,game_date,game_time_utc,timezone_offset,has_end_time,player,player_color,player_elo,elo_change,opponent,opponent_elo,opponent_is_bot,site,event,time_control,result,player_result,player_score,termination
1,51,2026-02-13 02:37:46,2026-02-13,02:37:46,+0000,true,SoloPistol,Black,550,,poovaa101,329,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by checkmate
2,52,2026-02-13 03:42:21,2026-02-13,03:42:21,+0000,true,SoloPistol,White,416,-134,amerjibril,520,false,Chess.com,Live Chess,600,0-1,loss,0.0,amerjibril won by resignation
3,53,2026-02-13 03:53:21,2026-02-13,03:53:21,+0000,true,SoloPistol,White,325,-91,Neal-M-P,421,false,Chess.com,Live Chess,600,0-1,loss,0.0,Neal-M-P won by resignation
4,54,2026-02-13 04:00:15,2026-02-13,04:00:15,+0000,true,SoloPistol,White,255,-70,Kana_Sibi,347,false,Chess.com,Live Chess,600,0-1,loss,0.0,Kana_Sibi won by checkmate
5,55,2026-02-13 04:03:56,2026-02-13,04:03:56,+0000,true,SoloPistol,Black,315,60,bosevasanth,234,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won - game abandoned
6,56,2026-02-13 04:13:27,2026-02-13,04:13:27,+0000,true,SoloPistol,Black,364,49,megasrichess,285,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by checkmate
7,59,2026-02-14 00:00:00,2026-02-14,00:00:00,,false,SoloPistol,White,339,-25,Filip-BOT,400,true,Chess.com,Play vs Bot,?,0-1,loss,0.0,Filip-BOT won by resignation
8,66,2026-02-14 02:51:27,2026-02-14,02:51:27,+0000,true,SoloPistol,White,360,21,RessCarlsen,305,false,Chess.com,Live Chess,900+10,1-0,win,1.0,SoloPistol won by resignation
9,67,2026-02-14 03:43:01,2026-02-14,03:43:01,+0000,true,SoloPistol,Black,339,-21,Krishyogi9,368,false,Chess.com,Live Chess,900+10,1-0,loss,0.0,Krishyogi9 won by resignation
10,68,2026-02-14 03:46:18,2026-02-14,03:46:18,+0000,true,SoloPistol,Black,355,16,thatoneguy_colin,207,false,Chess.com,Live Chess,900+10,0-1,win,1.0,SoloPistol won - game abandoned
11,57,2026-02-14 13:59:15,2026-02-14,13:59:15,+0000,true,SoloPistol,White,411,56,k3kko17,362,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won - game abandoned
12,58,2026-02-14 14:11:28,2026-02-14,14:11:28,+0000,true,SoloPistol,Black,371,-40,eduffyy,425,false,Chess.com,Live Chess,600,1-0,loss,0.0,eduffyy won by resignation
13,60,2026-02-14 15:39:17,2026-02-14,15:39:17,+0000,true,SoloPistol,Black,370,-1,ZaynebTlili,360,false,Chess.com,Live Chess,600,1/2-1/2,draw,0.5,Game drawn - timeout vs insufficient material
14,61,2026-02-14 15:53:49,2026-02-14,15:53:49,+0000,true,SoloPistol,White,335,-35,tjBalamurugan,354,false,Chess.com,Live Chess,900+10,0-1,loss,0.0,tjBalamurugan won by checkmate
15,62,2026-02-14 16:11:40,2026-02-14,16:11:40,+0000,true,SoloPistol,Black,306,-29,WhoRaiiinZone,354,false,Chess.com,Live Chess,900+10,1-0,loss,0.0,WhoRaiiinZone won by resignation
16,63,2026-02-14 20:14:02,2026-02-14,20:14:02,+0000,true,SoloPistol,White,332,26,LEO-2232,269,false,Chess.com,Live Chess,900+10,1-0,win,1.0,SoloPistol won by resignation
17,64,2026-02-14 20:18:18,2026-02-14,20:18:18,+0000,true,SoloPistol,White,359,27,mrernom8,338,false,Chess.com,Live Chess,900+10,1-0,win,1.0,SoloPistol won by resignation
18,65,2026-02-14 20:34:00,2026-02-14,20:34:00,+0000,true,SoloPistol,Black,339,-20,Npolk24,423,false,Chess.com,Live Chess,900+10,1-0,loss,0.0,Npolk24 won by checkmate
19,10,2026-02-15 01:57:53,2026-02-15,01:57:53,+0000,true,SoloPistol,White,420,81,Hiltonwillams,174,false,Chess.com,Live Chess,900+10,1-0,win,1.0,SoloPistol won by checkmate
20,11,2026-02-15 02:18:15,2026-02-15,02:18:15,+0000,true,SoloPistol,White,407,-13,JorgiePi,410,false,Chess.com,Live Chess,900+10,0-1,loss,0.0,JorgiePi won - game abandoned
21,69,2026-02-15 15:01:31,2026-02-15,15:01:31,+0000,true,SoloPistol,White,337,-70,akshay836,392,false,Chess.com,Live Chess,900+10,0-1,loss,0.0,akshay836 won by resignation
22,1,2026-02-15 15:13:18,2026-02-15,15:13:18,+0000,true,SoloPistol,Black,318,-19,hamzo3,332,false,Chess.com,Live Chess,900+10,1-0,loss,0.0,hamzo3 won by resignation
23,2,2026-02-15 15:34:07,2026-02-15,15:34:07,+0000,true,SoloPistol,White,339,21,Crazydude_18,374,false,Chess.com,Live Chess,900+10,1-0,win,1.0,SoloPistol won by checkmate
